riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7545860-A	1E-8	(EA)	0.98	-	-	-	FAF1	"Ventricular ectopy or supraventricular ectopy (pleiotropy)"	"premature cardiac contractions,supraventricular ectopy,ventricular ectopy"	-	GCST005935	1:50875994	29618737	"Napier MD"
rs8086068-A	4E-8	(African)	0.17	-	-	-	RNU6-857P,MIR302F	"Ventricular ectopy or supraventricular ectopy (pleiotropy)"	"premature cardiac contractions,supraventricular ectopy,ventricular ectopy"	-	GCST005935	18:30783657	29618737	"Napier MD"
rs7866503-T	2E-13	-	0.416	1.26	-	[1.20-1.32]	CDKN2B-AS1	"Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)"	"thoracic aortic aneurysm,Abdominal Aortic Aneurysm,brain aneurysm"	-	GCST003683	9:22091925	27418160	"van 't Hof FN"
rs8087799-A	2E-9	-	0.324	1.21	-	[1.15-1.27]	RNU6-1032P,RPS4XP18	"Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)"	"thoracic aortic aneurysm,Abdominal Aortic Aneurysm,brain aneurysm"	-	GCST003683	18:22605468	27418160	"van 't Hof FN"
rs595244-T	1E-8	-	0.082	1.35	-	[1.25-1.45]	FBN1	"Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)"	"thoracic aortic aneurysm,Abdominal Aortic Aneurysm,brain aneurysm"	-	GCST003683	15:48548638	27418160	"van 't Hof FN"
rs919433-A	5E-8	-	0.416	1.18	-	[1.12-1.24]	ANKRD44,ANKRD44-IT1	"Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)"	"thoracic aortic aneurysm,Abdominal Aortic Aneurysm,brain aneurysm"	-	GCST003683	2:197301841	27418160	"van 't Hof FN"
rs12420422-?	5E-10	-	NR	-	-	-	BSX,SAE1P1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	11:123009573	27790247	"He L"
rs12310617-?	2E-6	-	NR	-	-	-	TEAD4,RPL13AP24	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	12:3060327	27790247	"He L"
rs16867253-?	6E-7	-	NR	-	-	-	GRHL1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	2:9956965	27790247	"He L"
rs222826-?	5E-10	-	NR	-	-	-	METAP2P1,RNU7-2P	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	2:146120964	27790247	"He L"
rs4905014-?	5E-16	-	NR	-	-	-	ITPK1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	14:92945686	27790247	"He L"
rs7632505-?	8E-22	-	NR	-	-	-	SEMA5B	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	3:123019460	27790247	"He L"
rs7190256-?	5E-10	-	NR	-	-	-	ZFHX3	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	16:72963084	27790247	"He L"
rs3803802-?	5E-6	-	NR	-	-	-	DNAH2	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	17:7718146	27790247	"He L"
rs17140821-?	5E-7	-	NR	-	-	-	FERD3L,POLR1F	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	7:19177581	27790247	"He L"
rs8082812-?	6E-64	-	NR	-	-	-	THEMIS3P,AKR1B1P6	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	18:8522684	27790247	"He L"
rs1333048-?	1E-6	-	NR	-	-	-	CDKN2B-AS1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	9:22125348	27790247	"He L"
rs460976-?	1E-8	-	NR	-	-	-	MX1	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	21:41463567	27790247	"He L"
rs7081476-?	2E-8	-	NR	-	-	-	ANKRD26,FAM238C	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	10:26969741	27790247	"He L"
rs4506565-?	2E-9	-	NR	-	-	-	TCF7L2	"Age-related diseases and mortality"	"heart failure,diabetes mellitus,stroke,atrial fibrillation,mortality,coronary artery disease,cancer"	-	GCST004044	10:112996282	27790247	"He L"
rs13030042-T	1E-13	-	0.4683	-	"0.1071 unit increase"	[0.076-0.138]	CASP8	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90479858	2:201273662	39024449	"Verma A"
rs528945713-G	4E-11	-	0.9995	-	"1.982 unit decrease"	[1.92-2.04]	MTERF1,AKAP9	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90479858	7:91931760	39024449	"Verma A"
rs1027038-G	1E-18	-	0.639	-	"0.1298 unit increase"	[0.097-0.162]	PCAT1	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90479858	8:126990244	39024449	"Verma A"
rs536787956-G	2E-12	-	0.9997	-	"4.159 unit decrease"	[4.15-4.17]	KLHL1	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90479858	13:69751343	39024449	"Verma A"
rs12678465-G	1E-17	-	0.6064	-	"0.1282 unit increase"	[0.098-0.158]	PCAT1	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90475632	8:126990627	39024449	"Verma A"
rs13030042-T	6E-14	-	0.3683	-	"0.1098 unit increase"	[0.081-0.139]	CASP8	"Hemangioma and lymphangioma, any site (PheCode 228)"	lymphangioma,hemangioma	-	GCST90475632	2:201273662	39024449	"Verma A"
rs3743841-T	8E-10	-	NR	-	-	-	NAGPA	"Kawasaki disease or immunoglobulin A vasculitis (pleiotropy)"	"mucocutaneous lymph node syndrome,vasculitis"	-	GCST90095078	16:5030085	33993232	"Carmona EG"
rs73379591-C	7E-8	-	NR	-	-	-	EPB41L3	"Kawasaki disease or immunoglobulin A vasculitis (pleiotropy)"	"mucocutaneous lymph node syndrome,vasculitis"	-	GCST90095078	18:5503378	33993232	"Carmona EG"
rs10508313-C	1E-7	-	NR	-	-	-	LINP1	"Kawasaki disease or immunoglobulin A vasculitis (pleiotropy)"	"mucocutaneous lymph node syndrome,vasculitis"	-	GCST90095078	10:6791131	33993232	"Carmona EG"
rs13306561-G	7E-12	-	0.14	0.88	-	[0.84-0.91]	MTHFR	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	1:11805747	37285119	"Tyrmi JS"
rs1918969-C	1E-8	-	0.47	0.93	-	[0.9-0.95]	MECOM	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	3:169422102	37285119	"Tyrmi JS"
rs16998073-T	6E-19	-	0.33	1.14	-	[1.11-1.17]	PRDM8,FGF5	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	4:80263187	37285119	"Tyrmi JS"
rs12656497-C	3E-12	-	0.58	1.1	-	[1.07-1.13]	LINC02120,NPR3	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	5:32831833	37285119	"Tyrmi JS"
rs10882398-A	2E-13	-	0.59	1.11	-	[1.08-1.14]	PLCE1	"Preeclampsia or other maternal hypertension (maternal genotype effect)"	"preeclampsia,hypertension, pregnancy-induced"	-	GCST90269904	10:94133031	37285119	"Tyrmi JS"
